Statistical profiling result from isolate-0x128008000-67216-v8.log, (8257 ticks, 6748 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%          /opt/homebrew/Cellar/node/21.6.2_1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  Builtin: FindOrderedHashSetEntry
      3    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      3    0.0%    0.0%  Builtin: DefineNamedOwnIC
      3    0.0%    0.0%  Builtin: BitwiseAnd_Baseline
      2    0.0%    0.0%  RegExp: (\s+)
      2    0.0%    0.0%  JS: ^wrapSafe node:internal/modules/cjs/loader:1259:18
      2    0.0%    0.0%  JS: ^tryCatch /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:4643
      2    0.0%    0.0%  JS: ^serializeInto /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/serializer.js:553:23
      2    0.0%    0.0%  JS: ^Schema.path /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema.js:936:33
      2    0.0%    0.0%  JS: ^Document.get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:1836:34
      2    0.0%    0.0%  JS: *write node:buffer:700:12
      2    0.0%    0.0%  JS: *requireBuiltin node:internal/bootstrap/realm:419:24
      2    0.0%    0.0%  JS: *push /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:729:9
      2    0.0%    0.0%  JS: *get node:internal/streams/duplex:159:8
      2    0.0%    0.0%  JS: *emit node:events:466:44
      2    0.0%    0.0%  JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      2    0.0%    0.0%  JS: *_unrefTimer node:net:505:52
      2    0.0%    0.0%  JS: *Readable.push node:internal/streams/readable:385:35
      2    0.0%    0.0%  JS: *ObjectId.toString /Users/richardwilding/code/cc-vf/node_modules/bson/lib/objectid.js:164:44
      2    0.0%    0.0%  JS: *DocumentArrayPath.cast /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema/documentarray.js:405:44
      2    0.0%    0.0%  Builtin: WeakMapPrototypeSet
      2    0.0%    0.0%  Builtin: TypedArrayPrototypeSet
      2    0.0%    0.0%  Builtin: StringEqual
      2    0.0%    0.0%  Builtin: ResolvePromise
      2    0.0%    0.0%  Builtin: RegExpPrototypeExec
      2    0.0%    0.0%  Builtin: RegExpMatchFast
      2    0.0%    0.0%  Builtin: PerformPromiseThen
      2    0.0%    0.0%  Builtin: ObjectKeys
      2    0.0%    0.0%  Builtin: KeyedHasIC_PolymorphicName
      2    0.0%    0.0%  Builtin: Increment_Baseline
      2    0.0%    0.0%  Builtin: FastNewClosure
      2    0.0%    0.0%  Builtin: CompileLazy
      2    0.0%    0.0%  Builtin: CallApiGetter
      2    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      2    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      2    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      2    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
