Statistical profiling result from isolate-0x128008000-67216-v8.log, (8257 ticks, 6748 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%          /opt/homebrew/Cellar/node/21.6.2_1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
   6748   81.7%  UNKNOWN
   1652   24.5%    JS: ^internalCompileFunction node:internal/vm:73:33
   1651   99.9%      JS: ^wrapSafe node:internal/modules/cjs/loader:1259:18
   1589   96.2%        JS: ^Module._compile node:internal/modules/cjs/loader:1332:37
   1589  100.0%          JS: ^Module._extensions..js node:internal/modules/cjs/loader:1391:37
   1532   96.4%            JS: ^Module.load node:internal/modules/cjs/loader:1199:33
     56    3.5%            JS: *Module._load node:internal/modules/cjs/loader:955:24
     62    3.8%        JS: *Module._extensions..js node:internal/modules/cjs/loader:1391:37
     43   69.4%          JS: *Module.load node:internal/modules/cjs/loader:1199:33
     43  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:955:24
     19   30.6%          JS: ^Module.load node:internal/modules/cjs/loader:1199:33
     19  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:955:24
    631    9.4%    JS: ^readFileSync node:fs:449:22
    525   83.2%      JS: ^Module._extensions..js node:internal/modules/cjs/loader:1391:37
    481   91.6%        JS: ^Module.load node:internal/modules/cjs/loader:1199:33
    481  100.0%          JS: ^Module._load node:internal/modules/cjs/loader:955:24
    254   52.8%            JS: *require node:internal/modules/helpers:174:31
    179   37.2%            JS: ^Module.require node:internal/modules/cjs/loader:1229:36
     48   10.0%            JS: *Module.require node:internal/modules/cjs/loader:1229:36
     22    4.2%        JS: *Module.load node:internal/modules/cjs/loader:1199:33
     22  100.0%          JS: *Module._load node:internal/modules/cjs/loader:955:24
     22  100.0%            JS: *require node:internal/modules/helpers:174:31
     22    4.2%        JS: *Module._load node:internal/modules/cjs/loader:955:24
     22  100.0%          JS: *require node:internal/modules/helpers:174:31
      1    4.5%            JS: ~setup /Users/richardwilding/code/cc-vf/node_modules/extract-zip/node_modules/debug/src/common.js:7:15
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/wrap-ansi/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/text-decoder/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/tar-stream/pack.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/strip-ansi/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/streamx/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/pac-resolver/dist/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/pac-proxy-agent/dist/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/get-stream/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/fs-extra/lib/mkdirs/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/fs-extra/lib/json/jsonfile.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/fs-extra/lib/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/fs-extra/lib/ensure/index.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/escodegen/escodegen.js:38:11
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/degenerator/dist/degenerator.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/basic-ftp/dist/FtpContext.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/basic-ftp/dist/Client.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/ast-types/main.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/ast-types/lib/path-visitor.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/ast-types/fork.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/ast-types/def/core.js:1:1
      1    4.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/@tootallnate/quickjs-emscripten/dist/variants.js:1:1
     85   13.5%      JS: *Module._extensions..js node:internal/modules/cjs/loader:1391:37
     76   89.4%        JS: *Module.load node:internal/modules/cjs/loader:1199:33
     68   89.5%          JS: ^Module._load node:internal/modules/cjs/loader:955:24
     68  100.0%            JS: *require node:internal/modules/helpers:174:31
      8   10.5%          JS: *Module._load node:internal/modules/cjs/loader:955:24
      8  100.0%            JS: *require node:internal/modules/helpers:174:31
      9   10.6%        JS: ^Module.load node:internal/modules/cjs/loader:1199:33
      9  100.0%          JS: ^Module._load node:internal/modules/cjs/loader:955:24
      9  100.0%            JS: *require node:internal/modules/helpers:174:31
     17    2.7%      JS: ^Module._extensions..json node:internal/modules/cjs/loader:1445:39
     16   94.1%        JS: ^Module.load node:internal/modules/cjs/loader:1199:33
     16  100.0%          JS: ^Module._load node:internal/modules/cjs/loader:955:24
     16  100.0%            JS: *require node:internal/modules/helpers:174:31
      1    5.9%        JS: *Module.load node:internal/modules/cjs/loader:1199:33
      1  100.0%          JS: *Module._load node:internal/modules/cjs/loader:955:24
      1  100.0%            JS: *require node:internal/modules/helpers:174:31
    296    4.4%    JS: *wrapSafe node:internal/modules/cjs/loader:1259:18
    233   78.7%      JS: ^Module._compile node:internal/modules/cjs/loader:1332:37
    233  100.0%        JS: ^Module._extensions..js node:internal/modules/cjs/loader:1391:37
    206   88.4%          JS: ^Module.load node:internal/modules/cjs/loader:1199:33
    206  100.0%            JS: ^Module._load node:internal/modules/cjs/loader:955:24
     27   11.6%          JS: *Module.load node:internal/modules/cjs/loader:1199:33
     27  100.0%            JS: *Module._load node:internal/modules/cjs/loader:955:24
     63   21.3%      JS: *Module._extensions..js node:internal/modules/cjs/loader:1391:37
     63  100.0%        JS: *Module.load node:internal/modules/cjs/loader:1199:33
     41   65.1%          JS: ^Module._load node:internal/modules/cjs/loader:955:24
     41  100.0%            JS: *require node:internal/modules/helpers:174:31
     22   34.9%          JS: *Module._load node:internal/modules/cjs/loader:955:24
     22  100.0%            JS: *require node:internal/modules/helpers:174:31
    155    2.3%    JS: *slice node:buffer:625:12
    152   98.1%      JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    151   99.3%        JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    151  100.0%          JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    151  100.0%            JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      2    1.3%      JS: *getValidatedString /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:650:28
      2  100.0%        JS: ^deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      2  100.0%          JS: ^deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      2  100.0%            JS: ^deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    102    1.5%    JS: ^Module._extensions..json node:internal/modules/cjs/loader:1445:39
    101   99.0%      JS: ^Module.load node:internal/modules/cjs/loader:1199:33
    101  100.0%        JS: ^Module._load node:internal/modules/cjs/loader:955:24
    101  100.0%          JS: *require node:internal/modules/helpers:174:31
     51   50.5%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/natural/lib/natural/sentiment/SentimentAnalyzer.js:1:1
     37   36.6%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/natural/lib/natural/brill_pos_tagger/lib/Lexicon.js:1:1
      5    5.0%            JS: ~loadDictionary /Users/richardwilding/code/cc-vf/node_modules/natural/lib/natural/stemmers/indonesian/stemmer_id.js:126:25
      3    3.0%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/natural/lib/natural/stemmers/stemmer_de.js:1:1
      2    2.0%            JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/natural/node_modules/tr46/index.js:1:1
     90    1.3%    JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     87   96.7%      JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     87  100.0%        JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     86   98.9%          JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     71   82.6%            JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     15   17.4%            JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      1    1.1%          JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%            JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/bson.js:161:21
      3    3.3%      JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      3  100.0%        JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/bson.js:161:21
      3  100.0%          JS: ^parse /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/commands.js:426:10
      3  100.0%            JS: ^onMessage /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/connection.js:157:14

    212    2.6%  JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    212  100.0%    JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    211   99.5%      JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    209   99.1%        JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    181   86.6%          JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    168   92.8%            JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
     13    7.2%            JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     28   13.4%          JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
     28  100.0%            JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/bson.js:161:21

    126    1.5%  Builtin: KeyedLoadIC_Megamorphic
     32   25.4%    JS: *applyDefaults /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/applyDefaults.js:3:40
     18   56.3%      JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
     18  100.0%        JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
     18  100.0%          JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14
     18  100.0%            JS: ^<anonymous> /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:349:18
     11   34.4%      JS: *Document /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:79:18
     11  100.0%        JS: *Model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:117:15
     10   90.9%          JS: *model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5100:27
     10  100.0%            JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      1    9.1%          JS: ^model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5100:27
      1  100.0%            JS: *createModel /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/queryhelpers.js:95:43
      2    6.3%      JS: ^Document /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:79:18
      1   50.0%        JS: ^Model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:117:15
      1  100.0%          JS: ^model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5100:27
      1  100.0%            JS: ^createModel /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/queryhelpers.js:95:43
      1   50.0%        JS: *Model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:117:15
      1  100.0%          JS: ^model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5100:27
      1  100.0%            JS: *createModel /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/queryhelpers.js:95:43
      1    3.1%      JS: ^Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      1  100.0%        JS: ^syncWrapper /Users/richardwilding/code/cc-vf/node_modules/kareem/index.js:328:30
      1  100.0%          JS: ^Document.init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:634:35
      1  100.0%            JS: ^Document.$init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:655:36
     19   15.1%    JS: *_init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:740:17
     15   78.9%      JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
     14   93.3%        JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
     14  100.0%          JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14
     14  100.0%            JS: ^<anonymous> /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/utils.js:349:18
      1    6.7%        JS: *Document.init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:634:35
      1  100.0%          JS: *Document.$init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:655:36
      1  100.0%            JS: ^createModelAndInit /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/queryhelpers.js:130:57
      4   21.1%      JS: *init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:724:14
      2   50.0%        JS: ^Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      2  100.0%          JS: ^syncWrapper /Users/richardwilding/code/cc-vf/node_modules/kareem/index.js:328:30
      2  100.0%            JS: ^Document.init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:634:35
      2   50.0%        JS: *_init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:740:17
      2  100.0%          JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      2  100.0%            JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
     14   11.1%    JS: *Document.get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:1836:34
     14  100.0%      JS: *get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/compile.js:190:20
      9   64.3%        JS: *idGetter /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/schema/idGetter.js:26:18
      9  100.0%          JS: *VirtualType.applyGetters /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/virtualtype.js:140:46
      9  100.0%            JS: *Document.get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:1836:34
      1    7.1%        JS: ^markArraySubdocsPopulated /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/populate/markArraySubdocsPopulated.js:19:52
      1  100.0%          JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      1  100.0%            JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      1    7.1%        JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:574:51
      1  100.0%          Builtin: ArrayMap
      1  100.0%            JS: ^getIds /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:574:20
      1    7.1%        JS: *getIds /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:574:20
      1  100.0%          JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:591:35
      1  100.0%            Builtin: ArrayMap
      1    7.1%        JS: *<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:591:35
      1  100.0%          Builtin: ArrayMap
      1  100.0%            JS: ^_callee19$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:549:109
      1    7.1%        JS: *<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:578:49
      1  100.0%          Builtin: ArrayMap
      1  100.0%            JS: ^_callee19$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:549:109
     11    8.7%    JS: *get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/compile.js:190:20
      5   45.5%      JS: *idGetter /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/schema/idGetter.js:26:18
      5  100.0%        JS: *VirtualType.applyGetters /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/virtualtype.js:140:46
      5  100.0%          JS: *Document.get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:1836:34
      5  100.0%            JS: *get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/compile.js:190:20
      4   36.4%      JS: *<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:35:31
      4  100.0%        Builtin: ArrayFilter
      3   75.0%          JS: ^uniquePrimitives /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:33:26
      2   66.7%            JS: ^_loop8$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:1162:500
      1   33.3%            JS: ^_callee19$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:549:109
      1   25.0%          JS: ~uniquePrimitives /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:33:26
      1  100.0%            JS: ^_callee19$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:549:109
      1    9.1%      JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:574:51
      1  100.0%        Builtin: ArrayMap
      1  100.0%          JS: ^getIds /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:574:20
      1  100.0%            JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:578:49
      1    9.1%      JS: ^<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:35:31
      1  100.0%        Builtin: ArrayFilter
      1  100.0%          JS: ~uniquePrimitives /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:33:26
      1  100.0%            JS: ^_callee19$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:549:109
     10    7.9%    JS: *Document /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:79:18
     10  100.0%      JS: *Model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:117:15
      8   80.0%        JS: *model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5100:27
      8  100.0%          JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      8  100.0%            JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14
      2   20.0%        JS: ^model /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/model.js:5100:27
      1   50.0%          JS: *createModel /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/queryhelpers.js:95:43
      1  100.0%            JS: ^completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      1   50.0%          JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      1  100.0%            JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14
      8    6.3%    JS: *Schema.path /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema.js:936:33
      5   62.5%      JS: *Document.get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:1836:34
      5  100.0%        JS: *get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/compile.js:190:20
      2   40.0%          JS: ^markArraySubdocsPopulated /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/populate/markArraySubdocsPopulated.js:19:52
      2  100.0%            JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      2   40.0%          JS: *idGetter /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/schema/idGetter.js:26:18
      2  100.0%            JS: *VirtualType.applyGetters /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/virtualtype.js:140:46
      1   20.0%          JS: *<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:578:49
      1  100.0%            Builtin: ArrayMap
      2   25.0%      JS: *_init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:740:17
      2  100.0%        JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      2  100.0%          JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      2  100.0%            JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14
      1   12.5%      JS: ^_init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:740:17
      1  100.0%        JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      1  100.0%          JS: *completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      1  100.0%            JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14
      3    2.4%    JS: *<anonymous> /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:35:31
      3  100.0%      Builtin: ArrayFilter
      3  100.0%        JS: ^uniquePrimitives /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:33:26
      3  100.0%          JS: ^_loop8$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:1162:500
      3  100.0%            JS: ^tryCatch /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:25:4643
      2    1.6%    JS: ~<anonymous> /Users/richardwilding/code/cc-vf/dist-server/PrimitiveConfig.js:511:44
      2  100.0%      Builtin: ArrayMap
      2  100.0%        JS: ^_loop /Users/richardwilding/code/cc-vf/dist-server/PrimitiveConfig.js:505:58
      2  100.0%          JS: ^doFilter /Users/richardwilding/code/cc-vf/dist-server/PrimitiveConfig.js:481:33
      2  100.0%            JS: ~_loop6$ /Users/richardwilding/code/cc-vf/dist-server/SharedFunctions.js:839:356
      2    1.6%    JS: ^_unrefTimer node:net:505:52
      2  100.0%      JS: ^onStreamRead node:internal/stream_base_commons:167:22
      2    1.6%    JS: ^Module._load node:internal/modules/cjs/loader:955:24
      2  100.0%      JS: *require node:internal/modules/helpers:174:31
      1   50.0%        JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/natural/node_modules/mongoose/lib/schema/documentArray.js:1:1
      1  100.0%          JS: *Module._extensions..js node:internal/modules/cjs/loader:1391:37
      1  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1199:33
      1   50.0%        JS: ~<anonymous> /Users/richardwilding/code/cc-vf/node_modules/natural/node_modules/mongodb/lib/cmap/auth/plain.js:1:1
      1  100.0%          JS: ^Module._compile node:internal/modules/cjs/loader:1332:37
      1  100.0%            JS: ^Module._extensions..js node:internal/modules/cjs/loader:1391:37
      2    1.6%    JS: *_unrefTimer node:net:505:52
      1   50.0%      JS: ^onWriteComplete node:internal/stream_base_commons:80:25
      1   50.0%      JS: ^onStreamRead node:internal/stream_base_commons:167:22
      2    1.6%    JS: *Document.$__init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:668:38
      2  100.0%      JS: *Document.init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:634:35
      2  100.0%        JS: *Document.$init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:655:36
      2  100.0%          JS: ^completeMany /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/query/completeMany.js:23:22
      2  100.0%            JS: ^cb /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/query.js:2279:14

    114    1.4%  Builtin: LoadIC
     24   21.1%    JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     23   95.8%      JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     23  100.0%        JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     22   95.7%          JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
     16   72.7%            JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      6   27.3%            JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      1    4.3%          JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%            JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/bson.js:161:21
      1    4.2%      JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%        JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/bson.js:161:21
      1  100.0%          JS: ^parse /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/commands.js:426:10
      1  100.0%            JS: ^onMessage /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/connection.js:157:14
      5    4.4%    JS: *slice node:buffer:625:12
      4   80.0%      JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      3   75.0%        JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      3  100.0%          JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      3  100.0%            JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
      1   25.0%        JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:36:21
      1  100.0%          JS: ^deserialize /Users/richardwilding/code/cc-vf/node_modules/bson/lib/bson.js:161:21
      1  100.0%            JS: ^parse /Users/richardwilding/code/cc-vf/node_modules/mongodb/lib/cmap/commands.js:426:10
      1   20.0%      JS: *getValidatedString /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:650:28
      1  100.0%        JS: ^deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
